Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
"Вихідна потужність, Вт";;12 000;Вага брутто;;38300;Рабочая температура;;-40 - +60 С;Розмір упаковки (Ш х В х Г);;550 x 390 x 840 мм;"Розміри, мм";;408×638×237;Інтерфейс зв'язку;;RS485/CAN;Строк гарантії;;12 міс.;Вес;г;30.5;"Напруга батареї, В";;160-700;Класс защиты;;IP65;"Струм зарядки батареї, А";;37;"Напруга сонячних панелей, В";;150-850;"Струм сонячних панелей, А";;26+20;Кількість MPPT(PWM)/стрінг на трекер;;2/2+1;"Потужність сонячних панелей, Вт";;15600
"Вихідна потужність, Вт";;6 000;Вага брутто;;16000;Рабочая температура;;-25- +60℃;Розмір упаковки (Ш х В х Г);;440 x 280 x 470 мм;"Розміри, мм";;360 х 340 х 136;Інтерфейс зв'язку;;RS485 / 4G / WIFI;Строк гарантії;;12 міс.;Вес;г;11600;Класс защиты;;IP66;"Напруга сонячних панелей, В";;80 - 560;"Струм сонячних панелей, А";;18;Кількість MPPT(PWM)/стрінг на трекер;;1/1/2026 0:00;"Потужність сонячних панелей, Вт";;9 600;;;;;;
"Вихідна потужність, Вт";;12 000;Вага брутто;;26000;Рабочая температура;;-30 - +60℃;Розмір упаковки (Ш х В х Г);;500 x 290 x 590 мм;"Розміри, мм";;522 x 416 x 162.5;Інтерфейс зв'язку;;RS485 / 4G / WIFI;Строк гарантії;;12 міс.;Вес;г;21000;Класс защиты;;IP66;"Напруга сонячних панелей, В";;140 - 1000;"Струм сонячних панелей, А";;18;Кількість MPPT(PWM)/стрінг на трекер;;2/2/2026 0:00;"Потужність сонячних панелей, Вт";;19 200;;;;;;
"Вихідна потужність, Вт";;4 000;Вага брутто;;33440;Рабочая температура;;-40 - +65 ˚C;Розмір упаковки (Ш х В х Г);;430 x 250 x 710 мм;"Розміри, мм";;607 x 329 x 149;Інтерфейс зв'язку;;VE.Bus;Строк гарантії;;60 міс.;Вес;г;31000;"Напруга батареї, В";;19–33;Класс защиты;;IP21;"Струм зарядки батареї, А";;120;;;;;;;;;;;;
"Вихідна потужність, Вт";;300 / 260;Вага брутто;;4120;Рабочая температура;;-40 - +65°C;Розмір упаковки (Ш х В х Г);;210 x 150 x 300 мм;"Розміри, мм";;86 x 165 x 260;Інтерфейс зв'язку;;VE.Direct;Строк гарантії;;60 міс.;Вес;г;3000;"Напруга батареї, В";;"36,8 - 62В";Класс защиты;;IP21;Додаткові характеристики;;Schuko (CEE 7/4);;;;;;;;;;;;
"Вихідна потужність, Вт";;4 000;Вага брутто;;35180;Рабочая температура;;-20 - +60 ˚C;Розмір упаковки (Ш х В х Г);;330 x 340 x 540 мм;"Розміри, мм";;444 x 328 x 240;Інтерфейс зв'язку;;VE.Bus;Строк гарантії;;60 міс.;Вес;г;30000;"Напруга батареї, В";;19 – 33;"Струм зарядки батареї, А";;120;;;;;;;;;;;;;;;
"Вихідна потужність, Вт";;2 400;Вага брутто;;22140;Рабочая температура;;-20 - +60 ˚C;Розмір упаковки (Ш х В х Г);;340 x 320 x 450 мм;"Розміри, мм";;362 x 258 x 218;Інтерфейс зв'язку;;VE.Bus;Строк гарантії;;60 міс.;Вес;г;19000;"Напруга батареї, В";;19 – 33;"Струм зарядки батареї, А";;70;;;;;;;;;;;;;;;
"Вихідна потужність, Вт";;4 000;Вага брутто;;28040;Рабочая температура;;-40 до +60°С;Розмір упаковки (Ш х В х Г);;410 x 260 x 670 мм;"Розміри, мм";;702 x 345 x 152;Інтерфейс зв'язку;;VE.Bus;Строк гарантії;;60 міс.;Вес;г;33000;"Напруга батареї, В";;38-66;Класс защиты;;IP22;"Струм зарядки батареї, А";;70;;;;;;;;;;;;
"Вихідна потужність, Вт";;12 000;Вага брутто;;40000;Рабочая температура;;-30 - + 60°C;Розмір упаковки (Ш х В х Г);;590 x 325 x 650 мм;"Розміри, мм";;542 х 478 х 186;Інтерфейс зв'язку;;CAN / RS485 / WIFI / 4G / LAN;Строк гарантії;;12 міс.;Вес;г;34;"Напруга батареї, В";;150 - 600;Класс защиты;;IP65;"Струм зарядки батареї, А";;40;"Напруга сонячних панелей, В";;140 - 980;"Струм сонячних панелей, А";;54 (18 / 18*2);Кількість MPPT(PWM)/стрінг на трекер;;2 (1 / 2);"Потужність сонячних панелей, Вт";;24 000
"Вихідна потужність, Вт";;1 600;Рабочая температура;;-40 - +65°C;"Розміри, мм";;506 x 236 x 147;Строк гарантії;;60 міс.;"Напруга батареї, В";;19 – 33;"Струм зарядки батареї, А";;50;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Вихідна потужність, Вт";;12 000;Вага брутто;;40000;Рабочая температура;;-25 - +60С;Розмір упаковки (Ш х В х Г);;660 x 330 x 720 мм;"Розміри, мм";;566 x 593.5 x 219.5;Інтерфейс зв'язку;;"RS485,CAN,WiFi";Строк гарантії;;12 міс.;Вес;г;32000;"Напруга батареї, В";;150-550;Класс защиты;;IP65;"Струм зарядки батареї, А";;50;"Напруга сонячних панелей, В";;180-850;"Струм сонячних панелей, А";;18+18;Кількість MPPT(PWM)/стрінг на трекер;;2/1+1;"Потужність сонячних панелей, Вт";;18 000
"Вихідна потужність, Вт";;6 000;Вага брутто;;31780;Рабочая температура;;-40 до +65°С;Розмір упаковки (Ш х В х Г);;420 x 260 x 740 мм;"Розміри, мм";;644 x 320 x 150;Інтерфейс зв'язку;;VE.Bus;Строк гарантії;;60 міс.;Вес;г;29000;"Напруга батареї, В";;38-60;Класс защиты;;IP21;"Струм зарядки батареї, А";;100;;;;;;;;;;;;
"Вихідна потужність, Вт";;650 / 560;Вага брутто;;6980;Рабочая температура;;-40 - +65°C;Розмір упаковки (Ш х В х Г);;280 x 190 x 350 мм;"Розміри, мм";;105 x 216 x 305;Інтерфейс зв'язку;;VE.Direct;Строк гарантії;;60 міс.;Вес;г;5500;"Напруга батареї, В";;"36,8 - 62В";Класс защиты;;IP21;Додаткові характеристики;;Schuko (CEE 7/4);;;;;;;;;;;;
"Вихідна потужність, Вт";;4 000;Вага брутто;;32.22 кг;Рабочая температура;;-40 - +60°С;Розмір упаковки (Ш х В х Г);;415 x 270 x 670 мм;"Розміри, мм";;565 x 323 x 148;Інтерфейс зв'язку;;"BMS-Can, USB, Ethernet, VE.Direct, Wi-Fi";Строк гарантії;;60 міс.;"Напруга батареї, В";;38 – 66;Класс защиты;;IP22;"Струм зарядки батареї, А";;70;;;;;;;;;;;;;;;
"Вихідна потужність, Вт";;5 500;Вага брутто;;10320;Рабочая температура;;0°C- +50°C;Розмір упаковки (Ш х В х Г);;410 x 210 x 550 мм;"Розміри, мм";;318 х 454 х 122.5 мм;Інтерфейс зв'язку;;"RS485,CAN";Вес;г;9000;"Напруга батареї, В";;48;"Струм зарядки батареї, А";;100;"Напруга сонячних панелей, В";;60-360;"Струм сонячних панелей, А";;28;Кількість MPPT(PWM)/стрінг на трекер;;1;"Потужність сонячних панелей, Вт";;6000;;;;;;
"Вихідна потужність, Вт";;2 400;Вага брутто;;21220;Рабочая температура;;-40 - +60°С;Розмір упаковки (Ш х В х Г);;350 x 240 x 580 мм;"Розміри, мм";;506 x 275 x 147;Інтерфейс зв'язку;;"BMS-Can, USB, Ethernet, VE.Direct, Wi-Fi";Строк гарантії;;60 міс.;Вес;г;20000;"Напруга батареї, В";;38 – 66;Класс защиты;;IP22;"Струм зарядки батареї, А";;35;;;;;;;;;;;;
"Вихідна потужність, Вт";;4 000;Вага брутто;;42.64 кг;Рабочая температура;;-20 - +45°С;Розмір упаковки (Ш х В х Г);;400 x 360 x 680 мм;"Розміри, мм";;604 x 323 x 253;Інтерфейс зв'язку;;"BMS-Can, USB, Ethernet, VE.Direct, Wi-Fi";Строк гарантії;;60 міс.;"Напруга батареї, В";;38 – 66;Класс защиты;;IP21;"Струм зарядки батареї, А";;70;"Напруга сонячних панелей, В";;250;"Струм сонячних панелей, А";;100;Кількість MPPT(PWM)/стрінг на трекер;;1/1/2025 0:00;"Потужність сонячних панелей, Вт";;5 800;;;
"Вихідна потужність, Вт";;20 000;Вага брутто;;39760;Рабочая температура;;-40 - +60 С;Розмір упаковки (Ш х В х Г);;550 x 390 x 850 мм;"Розміри, мм";;408×638×237;Інтерфейс зв'язку;;CAN;Строк гарантії;;60 міс.;Вес;г;30500;"Напруга батареї, В";;160-700;Класс защиты;;IP65;"Струм зарядки батареї, А";;37;"Напруга сонячних панелей, В";;150-850;"Струм сонячних панелей, А";;26+26;Кількість MPPT(PWM)/стрінг на трекер;;2/2+2;"Потужність сонячних панелей, Вт";;26 000
