category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;
301112;Кронштейн для крепления на столб DS-1275ZJ-SUS;Матеріал;;Нержавіюча сталь;Розміри;;"Ф 67-127мм, 127х46х250мм";Кріплення;;на стовп;Навантаження;;10 Кг;Вага;;одна тисячі триста сорок п'ять г;Колір;;білий;Кількість в ящику;;16 шт;Розмір упаковки (Ш х В х Г);;140 x 95 x 260 мм;Вага брутто;;1.62 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;
301112;Кронштейн для крепления на столб DS-1475ZJ-SUS;Матеріал;;Нержавіюча сталь;Розміри;;250x127x46 мм;Навантаження;;10 Кг;Вага;;1205г;Колір;;білий;Розмір упаковки (Ш х В х Г);;260 x 90 x 140 мм;Вага брутто;;1.56 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;
301112;Кронштейн для крепления столба Dahua DH-PFA156-B;Матеріал;;алюмінієвий сплав;Розміри;;140 × 130.4 × 45 мм;Кріплення;;80 –150 мм;Навантаження;;5 кг;Розмір упаковки (Ш х В х Г);;165 x 70 x 185 мм;Вага брутто;;0.58 кг;;;;;;;;;;;;;;;;;;;;;;;;
301112;Кронштейн для купольных камер DH-PFB220C;Сумісний з серіями камер;;"Черес адаптери PFA107, PFA106";Матеріал;;алюміній;Розміри;;Ф128x767 мм;Навантаження;;2 Кг;Вага;;900г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;4 шт;Розмір упаковки (Ш х В х Г);;190 x 170 x 820 мм;Вага брутто;;1.42 кг;Строк гарантії;;12 міс.;;;;;;
301112;Кронштейн для купольных камер DS-1258ZJ;Матеріал;;Пластик ABS + PC;Розміри;;111x120x161 мм;Кріплення;;Ф101 мм;Навантаження;;2 Кг;Вага;;200г;Колір;;білий;Кількість в ящику;;36 шт;Розмір упаковки (Ш х В х Г);;165 x 120 x 130 мм;Вага брутто;;0.18 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;
301112;Кронштейн для купольных камер DS-1473ZJ-155;Матеріал;;сплав алюмінію;Розміри;;Φ155 × 183.5 × 240 мм;Навантаження;;3000 г;Вага;;725 г;Колір;;білий;Кількість в ящику;;8 шт;Розмір упаковки (Ш х В х Г);;225 x 180 x 260 мм;Вага брутто;;1.14 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;
301112;Кронштейн для купольных камер черного цвета DS-1258ZJ(black);Матеріал;;Пластик ABS + PC;Розміри;;111x120x161 мм;Кріплення;;Ф101 мм;Навантаження;;2 кг;Вага;;200 г;Колір;;чорний;Кількість в ящику;;30 шт;Розмір упаковки (Ш х В х Г);;120 x 170 x 130 мм;Вага брутто;;0.18 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;
301112;Кронштейн для настенного крепления DH-PFB121W;Сумісний з серіями камер;;"DH-HAC-HF3231E, DH-IPC-HF81230E, DH-IPC-HF5431 / 5231 / 81230E-E, DH-IPC-HF8231 / 8232/8331/8630 / 8835F- (E) (NF) (FD) (FR) , DH-HAC-HF3805G, DH-IPC-HFW4230M-4G-AS-I2";Матеріал;;алюміній;Розміри;;190x88x58 мм;Навантаження;;1 Кг;Вага;;240г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Розмір упаковки (Ш х В х Г);;100 x 60 x 195 мм;Вага брутто;;0.3 кг;Строк гарантії;;12 міс.;;;;;;;;;
301112;Кронштейн для системы позиционирования DS-1693ZJ;Сумісний з серіями камер;;системи позиціонування;Матеріал;;сталь;Розміри;;500x200x190 мм;Навантаження;;50 Кг;Вага;;5700г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Розмір упаковки (Ш х В х Г);;200 x 540 x 355 мм;Вага брутто;;3.5 кг;Строк гарантії;;12 міс.;;;;;;;;;
301112;Кронштейн для установки на столб DH-PFA150;Сумісний з серіями камер;;дивіться в файлі ""сумісність"".;Матеріал;;SECC і SUS304;Розміри;;130х170х45 мм;Кріплення;;Ф80-150 мм;Навантаження;;10 Кг;Вага;;1100г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;180 x 175 x 191 мм;Вага брутто;;1.24 кг;Строк гарантії;;12 міс.;;;
301112;Кронштейн для установки на столб DH-PFA152-E;Сумісний з серіями камер;;Дивіться в файлі ""сумісність"".;Матеріал;;Алюміній і SUS304;Розміри;;125x114x20 мм;Кріплення;;Ф80-150мм;Навантаження;;3 Кг;Вага;;270г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;20 шт;Розмір упаковки (Ш х В х Г);;150 x 66 x 145 мм;Вага брутто;;0.36 кг;Строк гарантії;;12 міс.;;;
301112;кронштейн настенный DS-2202ZJ;Матеріал;;алюміній;Навантаження;;до 10 кг;Розміри;;300.7 × 250.2 × 107.9 мм;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;320 x 150 x 365 мм;Вага брутто;;1.98 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;;;;
301112;Кронштейн с распределительной коробкой DH-PFA12A;Сумісний з серіями камер;;"HFWxxR- (TL) (RM) (Z) (VF), HFWxxS- (SW) (SL), HFWxxE, HFWxxT, HFWxxB (D), MExx-B, HDWxxR- (Z) (VF), T1A, T2A, B1B, HDWxxM, HDWxxE (EM), HDPWxxR";Матеріал;;ПП;Розміри;;210x97x35 мм;Кріплення;;На стіну;Вага;;100г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;90 шт;Розмір упаковки (Ш х В х Г);;35 x 100 x 210 мм;Вага брутто;;0.138 кг;Строк гарантії;;12 міс.;;;;;;
301112;Кронштейн угловой DS-1276ZJ (Украина);Сумісний з серіями камер;;"DS-2CD41xx, DS-2CD43xx, DS-2CD7xx, DS-2CD72xx, DS-2CD25xx, DS-2CD71xx, DS-2CD21xx, DS-2CD23xx, DS-2CD27xx";Матеріал;;Алюмінієвий сплав;Розміри;;126x105 × 250мм;Вага;;1950р;Колір;;білий;Кількість в ящику;;10 шт;Розмір упаковки (Ш х В х Г);;250 x 100 x 220 мм;Вага брутто;;0.3 кг;;;;;;;;;;;;;;;;;;
301112;Магнитный кронштейн для IPC-B26EP FMB20;Сумісний з серіями камер;;IPC-B26EP;Матеріал;;Алюмінієвий сплав + пластик;Розміри;;58 х 40 х 55 мм;Вага;;100 г;Колір;;білий;Розмір упаковки (Ш х В х Г);;65 x 50 x 65 мм;Вага брутто;;0.16 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;
301112;Монтажный адаптер для подвесного потолка DH-PFA200G;Сумісний з серіями камер;;"4-дюймова квадратна, 4-дюймова восьмикутна, одинарна або здвоєна розподільна коробка";Матеріал;;Алюмінієвий сплав + ABS;Розміри;;"Ф 154 х 8,5 мм";Вага;;160 г;Колір;;білий;Робоча температура;;-40 ℃ - 60 ℃;Вологість;;0-90%;Кількість в ящику;;60 шт;Розмір упаковки (Ш х В х Г);;170 x 30 x 170 мм;Вага брутто;;0.22 кг;Строк гарантії;;12 міс.;;;;;;;;;
301112;Настенное крепление Hikvision DS-4604ZJ-PA;Матеріал;;ADC12;Розміри;;160×124×398 мм;Вага;;1.9 кг;Кількість в ящику;;9 шт;Розмір упаковки (Ш х В х Г);;320 x 180 x 500 мм;Вага брутто;;2.88 кг;;;;;;;;;;;;;;;;;;;;;;;;
301112;Настенный кронштейн Dahua DH-PFB2203W;Матеріал;;Алюмінієвий сплав;Робоча температура;;–40 °C - +60 °C;Навантаження;;1 кг;Розміри;;162 × 129.4 × 80 мм;Кількість в ящику;;30 шт;Розмір упаковки (Ш х В х Г);;90 x 170 x 140 мм;Вага брутто;;0.57 кг;;;;;;;;;;;;;;;;;;;;;
301112;Настенный кронштейн Dahua DH-PFB2204W;Матеріал;;"SGCC, алюмінієвий сплав";Навантаження;;1 кг;Вага;;490 г;Робоча температура;;–40 °C - +60 °C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301112;Настенный кронштейн DS-1294ZJ-PT;Матеріал;;Пластик і сталь;Розміри;;223x125x80 мм;Навантаження;;3 Кг;Вага;;480г;Колір;;білий;Кількість в ящику;;16 шт;Розмір упаковки (Ш х В х Г);;240 x 145 x 100 мм;Вага брутто;;0.54 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;
