Ідентифікатор_підрозділу;prom_attribute;prom_value
3030;Шифрування даних;Khufu
3030;Шифрування даних;Lucifer
3030;Шифрування даних;LOKI97
3030;Шифрування даних;MARS
3030;Шифрування даних;MICKEY
3030;Шифрування даних;NewDES
3030;Шифрування даних;NUSH
3030;Шифрування даних;Present
3030;Шифрування даних;RC4
3030;Шифрування даних;RC5
3030;Шифрування даних;RC6
3030;Шифрування даних;RTEA
3030;Шифрування даних;Rabbit
3030;Шифрування даних;Raiden
3030;Шифрування даних;Rainbow
3030;Шифрування даних;REDOC
3030;Шифрування даних;SAFER
3030;Шифрування даних;SEAL
3030;Шифрування даних;SOSEMANUK
3030;Шифрування даних;SEED
3030;Шифрування даних;Sinople
3030;Шифрування даних;Serpent
3030;Шифрування даних;SHARK
3030;Шифрування даних;SHACAL
3030;Шифрування даних;SQUARE
3030;Шифрування даних;SC2000
3030;Шифрування даних;TEA
3030;Шифрування даних;Threefish
3030;Шифрування даних;Trivium
3030;Шифрування даних;Triple DES
3030;Шифрування даних;Twofish
3030;Шифрування даних;VMPC
3030;Шифрування даних;XTEA
3030;Шифрування даних;XXTEA
3030;Шифрування даних;3-WAY
3030;Шифрування даних;ГОСТ 28147-89
3030;Рівні доступу;Введіть число. Число повинно бути від 0 до 10000
3030;Реєстрація подій;Відео
3030;Реєстрація подій;Відео та інформація про подію
3030;Реєстрація подій;Інформація про подію
3030;Реєстрація подій;Немає
3030;Реєстрація подій;Фото
3030;Реєстрація подій;Фото/Відео
3030;Реєстрація подій;Фото/Відео та інформація про подію
3030;Реєстрація подій;Фото та інформація про подію
3030;Обсяг журналу реєстрацій (подій);Введіть число. Число повинно бути від 0 до 10000000
3030;Індикація;Звукова
3030;Індикація;Немає
3030;Індикація;Світлова
3030;Індикація;Світлова/Звукова
3030;Контроль і управління доступом;Так
3030;Контроль і управління доступом;Ні
3030;Доступ співробітника за особистим кодом;Так
3030;Доступ співробітника за особистим кодом;Ні
3030;Облік відвідувачів;Так
3030;Облік відвідувачів;Ні
3030;Збір і надання статистики;Так
3030;Збір і надання статистики;Ні
3030;Взаємодія з ідентифікаторами;RO
3030;Взаємодія з ідентифікаторами;RW
3030;Взаємодія з ідентифікаторами;WORM
3030;Управління ел. клямками (шт.);Введіть число. Число повинно бути від 0 до 100000
3030;Управління ел. замками (шт.);Введіть число. Число повинно бути від 0 до 100000
3030;Управління турнікетами (шт.);Введіть число. Число повинно бути від 0 до 100000
3030;Управління шлюзовими кабінами (шт.);Введіть число. Число повинно бути від 0 до 10000
3030;Управління шлагбаумами (шт.);Введіть число. Число повинно бути від 0 до 100000
3030;Управління автоматизованими огородженнями (шт.);Введіть число. Число повинно бути від 0 до 100000
3030;Охоронна сигналізація;Так
3030;Охоронна сигналізація;Ні
3030;Інтеграція з системами і ПО;Так
3030;Інтеграція з системами і ПО;Ні
3030;Можливість розширення;Так
3030;Можливість розширення;Ні
3030;Контролер;Введіть число. Число повинно бути від 1 до 10000
3030;Програмне забезпечення;Так
3030;Програмне забезпечення;Ні
3030;Монітор;CRT
3030;Монітор;LCD
3030;Монітор;LCD TFT
3030;Монітор;LED
3030;Монітор;OLED
3030;Монітор;TFT
3030;Монітор;РК
3030;Монітор;Немає
3030;Розмір монітора (дюйм);Введіть число. Число повинно бути від 0 до 100
3030;Кольоровість монітора;Кольоровий
3030;Кольоровість монітора;Чорно-білий
3030;Роздільна здатність екрану;1024×576
3030;Роздільна здатність екрану;1024×600
3030;Роздільна здатність екрану;1024×768
3030;Роздільна здатність екрану;1120×832
3030;Роздільна здатність екрану;1152×648
3030;Роздільна здатність екрану;1152×720
3030;Роздільна здатність екрану;1152×768
3030;Роздільна здатність екрану;1152×864
3030;Роздільна здатність екрану;1152×900
3030;Роздільна здатність екрану;1200×720
3030;Роздільна здатність екрану;1280×1024
3030;Роздільна здатність екрану;1280×720
3030;Роздільна здатність екрану;1280×768
3030;Роздільна здатність екрану;1280×800
3030;Роздільна здатність екрану;1280×854
3030;Роздільна здатність екрану;1280×960
3030;Роздільна здатність екрану;128×128
3030;Роздільна здатність екрану;128x160
3030;Роздільна здатність екрану;1366×768
3030;Роздільна здатність екрану;1400×1050
3030;Роздільна здатність екрану;1440×1080
3030;Роздільна здатність екрану;1440×900
3030;Роздільна здатність екрану;1440×960
3030;Роздільна здатність екрану;1536×864
3030;Роздільна здатність екрану;1600×1024
3030;Роздільна здатність екрану;1600×1200
3030;Роздільна здатність екрану;1600×900
3030;Роздільна здатність екрану;160×200
3030;Роздільна здатність екрану;1680×1050
3030;Роздільна здатність екрану;1920×1200
3030;Роздільна здатність екрану;1920×1280
3030;Роздільна здатність екрану;1920×1440
3030;Роздільна здатність екрану;2048×1080
3030;Роздільна здатність екрану;2048×1152
3030;Роздільна здатність екрану;2560×1440
3030;Роздільна здатність екрану;2560×1600
3030;Роздільна здатність екрану;2560×2048
3030;Роздільна здатність екрану;256×192
3030;Роздільна здатність екрану;2880×1800
3030;Роздільна здатність екрану;3200×2048
3030;Роздільна здатність екрану;3200×2400
3030;Роздільна здатність екрану;320×200
3030;Роздільна здатність екрану;320×240
3030;Роздільна здатність екрану;320×256
3030;Роздільна здатність екрану;400×240
3030;Роздільна здатність екрану;400×288
3030;Роздільна здатність екрану;466×288
3030;Роздільна здатність екрану;480×270
3030;Роздільна здатність екрану;480×320
3030;Роздільна здатність екрану;4K Ultra HD (3840×2160)
3030;Роздільна здатність екрану;5120×4096
3030;Роздільна здатність екрану;512×256
3030;Роздільна здатність екрану;512×342
3030;Роздільна здатність екрану;512×384
3030;Роздільна здатність екрану;6400×4096
3030;Роздільна здатність екрану;6400×4800
3030;Роздільна здатність екрану;640×200
3030;Роздільна здатність екрану;640×256
3030;Роздільна здатність екрану;640×272
3030;Роздільна здатність екрану;640×288
3030;Роздільна здатність екрану;640×350
3030;Роздільна здатність екрану;640×400
3030;Роздільна здатність екрану;640×480
3030;Роздільна здатність екрану;640×512
3030;Роздільна здатність екрану;64x126
3030;Роздільна здатність екрану;64x128
3030;Роздільна здатність екрану;64x64
3030;Роздільна здатність екрану;720x348
3030;Роздільна здатність екрану;720×350
3030;Роздільна здатність екрану;720×360
3030;Роздільна здатність екрану;7680×4320
3030;Роздільна здатність екрану;7680×4800
3030;Роздільна здатність екрану;784×640
3030;Роздільна здатність екрану;800×480
3030;Роздільна здатність екрану;800×600
3030;Роздільна здатність екрану;800×640
3030;Роздільна здатність екрану;854×466
3030;Роздільна здатність екрану;854×480
3030;Роздільна здатність екрану;960×540
3030;Роздільна здатність екрану;960×640
3030;Роздільна здатність екрану;960х240
3030;Роздільна здатність екрану;Full HD (1920×1080)
3030;Підсвітка екрану;Так
3030;Підсвітка екрану;Ні
3030;Кількість зчитувачів;Введіть число. Число повинно бути від 0 до 10000
3030;Кількість ідентифікаторів;Введіть число. Число повинно бути від 0 до 10000
3030;Перетворювач інтерфейсу;Так
3030;Перетворювач інтерфейсу;Ні
3030;Геркон;Введіть число. Число повинно бути від 0 до 10000
3030;Датчик злому;Так
3030;Датчик злому;Ні
3030;Кнопка виходу;Введіть число. Число повинно бути від 0 до 10000
3030;Тривожна кнопка;Введіть число. Число повинно бути від 0 до 10000
3030;Кількість замків;Введіть число. Число повинно бути від 0 до 10000
3030;Кількість засувок;Введіть число. Число повинно бути від 0 до 10000
3030;Кількість світлодіодів;Введіть число. Число повинно бути від 0 до 10000
3030;Кількість оповіщувачів;Введіть число. Число повинно бути від 0 до 10000
3030;Кількість сповіщувачів;Введіть число. Число повинно бути від 0 до 10000
3030;Кількість акумуляторів;Введіть число. Число повинно бути від 0 до 10000
3030;Кількість блоків живлення;Введіть число. Число повинно бути від 0 до 10000
3030;Кількість ДБЖ;Введіть число. Число повинно бути від 0 до 10000
3030;Провід сполучний;Так
3030;Провід сполучний;Ні
3030;Кріпильний комплект;Так
3030;Кріпильний комплект;Ні
3030;Живлення;Мережа 110В
3030;Живлення;Мережа 12В
3030;Живлення;Мережа 220В
3030;Живлення;Мережа 24В
3030;Живлення;Мережа 380В
3030;Живлення;Сонячні батареї
3030;Живлення;Спеціальний акумулятор
3030;Додаткове джерело живлення;Мережа 12В
3030;Додаткове джерело живлення;Мережа 110В
3030;Додаткове джерело живлення;Мережа 220В
3030;Додаткове джерело живлення;Мережа 380В
3030;Додаткове джерело живлення;Сонячні батареї
3030;Додаткове джерело живлення;Спеціальний акумулятор
3030;Додаткове джерело живлення;Мережа 24В
3030;Напруга (В);Введіть число. Число повинно бути від 0 до 380
3030;Значення вихідного струму (А);Введіть число. Число повинно бути від 0 до 10000
3030;Живлення в режимі очікування (мА);Введіть число. Число повинно бути від 0 до 10000
3030;Контроль розряду;Так
3030;Контроль розряду;Ні
3030;Аварійне підживлення;Так
3030;Аварійне підживлення;Ні
3030;Захист від перенапруги в мережі;Так
3030;Захист від перенапруги в мережі;Ні
3030;Мінімальна робоча температура (град.);Введіть число. Число повинно бути від -100 до 0
3030;Максимальна робоча температура (град.);Введіть число. Число повинно бути від 0 до 100
3030;Гарантійний термін (міс);Введіть число. Число повинно бути від 0 до 120
