Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Zhestkie-diski;70704;;;Мінімальна робоча температура (град.);Введіть число. Число повинно бути від -100 до 0
https://prom.ua/Zhestkie-diski;70704;;;Живлення;USB
https://prom.ua/Zhestkie-diski;70704;;;Живлення;Мережа 110В
https://prom.ua/Zhestkie-diski;70704;;;Живлення;Мережа 12В
https://prom.ua/Zhestkie-diski;70704;;;Живлення;Мережа 220В
https://prom.ua/Zhestkie-diski;70704;;;Живлення;Мережа 380В
https://prom.ua/Zhestkie-diski;70704;;;Живлення;Спеціальний акумулятор
https://prom.ua/Zhestkie-diski;70704;;;Максимальна робоча температура (град.);Введіть число. Число повинно бути від 0 до 100
https://prom.ua/Zhestkie-diski;70704;;;Довжина (мм);Введіть число. Число повинно бути від 1 до 500
https://prom.ua/Zhestkie-diski;70704;;;Ширина (мм);Введіть число. Число повинно бути від 0 до 500
https://prom.ua/Zhestkie-diski;70704;;;Висота (мм);Введіть число. Число повинно бути від 0 до 500
https://prom.ua/Zhestkie-diski;70704;;;Вага (г);Введіть число. Число повинно бути від 0 до 3000
