Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
301110;;;Ключові опції;Захист паролем
301110;;;Ключові опції;Сканер відбитку пальця
301110;;;Ключові опції;Скидання налаштувань
301110;;;Монітор;CRT
301110;;;Монітор;LCD
301110;;;Монітор;LCD TFT
301110;;;Монітор;LED
301110;;;Монітор;TFT
301110;;;Монітор;РК
301110;;;Монітор;Немає
301110;;;Кольоровість монітора;Кольоровий
301110;;;Кольоровість монітора;Чорно-білий
301110;;;Розмір монітора (дюйм);Введіть число. Число повинно бути від 0 до 30
301110;;;OSD-меню;Так
301110;;;OSD-меню;Ні
301110;;;Кількість клавіш (шт.);Введіть число. Число повинно бути від 0 до 300
301110;;;Джойстик;2D
301110;;;Джойстик;3D
301110;;;Джойстик;4D
301110;;;Джойстик;Кнопковий
301110;;;Джойстик;Немає
301110;;;Jog-Shuttle маніпулятор;Так
301110;;;Jog-Shuttle маніпулятор;Ні
301110;;;Слот для SD-карти;Так
301110;;;Слот для SD-карти;Ні
301110;;;Живлення;Батарейки акумуляторного типу
301110;;;Живлення;Батарейки одноразові
301110;;;Живлення;Мережа 110В
301110;;;Живлення;Мережа 12В
301110;;;Живлення;Мережа 220В
301110;;;Живлення;Мережа 380В
301110;;;Живлення;Спеціальний акумулятор
301110;;;Додаткове джерело живлення;Мережа 12В
301110;;;Додаткове джерело живлення;Мережа 110В
301110;;;Додаткове джерело живлення;Мережа 220В
301110;;;Додаткове джерело живлення;Мережа 380В
301110;;;Додаткове джерело живлення;Батарейки одноразові
301110;;;Додаткове джерело живлення;Батарейки акумуляторного типу
301110;;;Додаткове джерело живлення;Сонячні батареї
301110;;;Додаткове джерело живлення;Спеціальний акумулятор
301110;;;Напруга (В);Введіть число. Число повинно бути від 0 до 380
301110;;;Значення вихідного струму (А);Введіть число. Число повинно бути від 0 до 1000
301110;;;Мінімальна робоча температура (град.);Введіть число. Число повинно бути від -100 до 0
301110;;;Максимальна робоча температура (град.);Введіть число. Число повинно бути від 0 до 100
301110;;;Довжина (мм);Введіть число. Число повинно бути від 0 до 2000
301110;;;Ширина (мм);Введіть число. Число повинно бути від 0 до 2000
301110;;;Висота (мм);Введіть число. Число повинно бути від 0 до 2000
301110;;;Вага (г);Введіть число. Число повинно бути від 0 до 10000
301110;;;Гарантійний термін (міс);Введіть число. Число повинно бути від 0 до 120
