category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;
14191106;Блок бесперебойного питания Full Energy BBGW-125 12В 5А;Вага брутто;;2 кг;Розмір упаковки (Ш х В х Г);;195 x 265 x 75 мм;Выходное напряжение;В;12 В;Строк гарантії;;12 міс.;Входное напряжение;;190–240В;Підтримка АКБ;;7 Аг;Сила струму на виході;;5 А;Тип устройства;;Блок безперебійного живлення;Розміри;;265 х 195 х 75 мм;Кількість каналів навантаження;;1;Рабочая температура;;-20 ~ +60;Класс защиты;;IP66;;;;;
14191106;Блок бесперебойного питания Kraft PSU-1203LED 12В 3А;Вага брутто;;0.85 кг;Розмір упаковки (Ш х В х Г);;200 x 160 x 70 мм;Выходное напряжение;В;12 В;Строк гарантії;;12 міс.;Входное напряжение;;190-265 В;Підтримка АКБ;;7 Аг;Сила струму на виході;;3 А;Тип устройства;;Імпульсний;Розміри;;275х290х100 мм;;;;;;;;;;;;;;
14191106;Блок бесперебойного питания Тірас 2415 24В 1.5А;Вага брутто;;1.6 кг;Розмір упаковки (Ш х В х Г);;280 x 280 x 80 мм;Выходное напряжение;В;21 В–30 В;Строк гарантії;;12 міс.;Входное напряжение;;187 В – 242 В;Підтримка АКБ;;"2 свинцево-кислотних акумулятора 7 А∙год, 12 В або 9 А∙год, 12 В";Сила струму на виході;;1.5 А;Розміри;;220х345х85 мм;Рабочая температура;;-5 °С - +40 °С;;;;;;;;;;;;;;
14191106;Источник бесперебойного питания Kraft PSU-1205LED(P) 12В 5А;Вага брутто;;0.84 кг;Розмір упаковки (Ш х В х Г);;205 x 85 x 245 мм;Строк гарантії;;12 міс.;Входное напряжение;;190-265В;Номінал струму;;5А;Мощность;;60 Вт;Резервна батарея акумулятора;;7Аг;;;;;;;;;;;;;;;;;;;;
14191106;Источник бесперебойного питания Ritar RTM1000 Proxima-D 1000ВA;Вага брутто;;9720;Розмір упаковки (Ш х В х Г);;190 x 280 x 405 мм;Рабочая температура;;0 - 45°C;Додаткові характеристики;;Кількість розеток SCHUKO: 3;Батареї;;12В/ 2х7А•г;Вес;г;10000;Номинальная мощность;;1000VA / 600Вт;"Розміри, мм";;350 х 120 х 190 мм;Форма сигналу;;апроксимована (модифікована) синусоїда;Діапазон вхідної напруги;;145 - 290В AC;"Час автономної роботи, хв";;при завантаженні 70%: ≥4х40с;;;;;;;;
14191106;Плата ИБП Kraft PSU-1208LED(BOARD) с креплением на DIN-рейку;Вага брутто;;0.3 кг;Розмір упаковки (Ш х В х Г);;110 x 60 x 180 мм;Выходное напряжение;В;12В;Кількість каналів навантаження;;1;Выходной ток;;8А;Выходная мощность;;120 Вт;Струм заряду акумуляторної батареї;;0.75 А;;;;;;;;;;;;;;;;;;;;
14191106;Блок бесперебойного питания Full Energy BBGP-125W 12В 5А;Вага брутто;;1 кг;Розмір упаковки (Ш х В х Г);;184 x 260 x 94 мм;Выходное напряжение;В;12 В;Строк гарантії;;12 міс.;Входное напряжение;;100–240В;Підтримка АКБ;;7 Аг;Сила струму на виході;;5 А;Тип устройства;;Блок безперебійного живлення;Розміри;;260 х 184 х 94 мм;Кількість каналів навантаження;;1;Рабочая температура;;-20 ~ +60;Класс защиты;;IP66;;;;;
14191106;Блок бесперебойного питания Kraft PSU-1205LED 12В 5А;Вага брутто;;1.5 кг;Розмір упаковки (Ш х В х Г);;210 x 85 x 280 мм;Выходное напряжение;В;12 В;Строк гарантії;;12 міс.;Підтримка АКБ;;7 Аг;Сила струму на виході;;5 А;Розміри;;265х195х75 мм;Кількість в ящику;;10 шт;;;;;;;;;;;;;;;;;
14191106;ББП 16-ти канальный PSU-1220/16CH 12V 20А;Вага брутто;;5.02 кг;Розмір упаковки (Ш х В х Г);;295 x 170 x 420 мм;Выходное напряжение;В;DC 10.2-13.8В;Строк гарантії;;12 міс.;Входное напряжение;;AC 190~240В;Підтримка АКБ;;18 А/г;Сила струму на виході;;9.5 - 20A;Розміри;;395x285x165 мм;;;;;;;;;;;;;;;;;
14191106;Плата ИБП Kraft PSU-1203(LED) с креплением на DIN-рейку;Вага брутто;;0.25 кг;Розмір упаковки (Ш х В х Г);;80 x 60 x 180 мм;Выходное напряжение;В;12В;Кількість каналів навантаження;;1;Выходной ток;;3А;Выходная мощность;;51.5 Вт;Струм заряду акумуляторної батареї;;0.75 А;;;;;;;;;;;;;;;;;;;;
14191106;Источник бесперебойного питания Hikvision DS-UPS600/EU 600ВА;Вага брутто;;4.3 кг;Розмір упаковки (Ш х В х Г);;140 x 210 x 330 мм;Додаткові характеристики;;"DC - AC ≤ 10 мс, AC - DC ≤ 10 мс, зарядка 10-16 годин";Кількість в ящику;;4 шт;Батареї;;12 В/7 А•г× 1;Вес;г;4.2 кг;Номинальная мощность;;600;"Розміри, мм";;274 × 95 × 139;Діапазон вхідної напруги;;220 - 240 В;;;;;;;;;;;;;;
14191106;Источник бесперебойного питания Ritar RTP1200 Proxima-D 1200ВA;Вага брутто;;10900;Розмір упаковки (Ш х В х Г);;440 x 220 x 240 мм;Строк гарантії;;12 міс.;Рабочая температура;;-0°C – +45°C;Додаткові характеристики;;Кількість розеток SCHUKO: 4;Батареї;;12В/ 2х7А•г;Вес;г;10500;Номинальная мощность;;1200VA / 700Вт;"Розміри, мм";;350 х 140 х 160 мм;Форма сигналу;;апроксимована (модифікована) синусоїда;Діапазон вхідної напруги;;145 - 290В AC;"Час автономної роботи, хв";;200Вт: 19 хв;;;;;
14191106;Источник бесперебойного питания EnerGenie EG-UPS-001 650ВA аппроксимированная синусоида;Вага брутто;;4900;Розмір упаковки (Ш х В х Г);;145 x 240 x 335 мм;Строк гарантії;;12 міс.;Додаткові характеристики;;"1x C13 (вхід), 4 евророзетки (вихід)";Батареї;;12В 7A•г;Вес;г;4500;Номинальная мощность;;650ВА (390Вт);"Розміри, мм";;280 x 185 x 95;Форма сигналу;;апроксимована синусоїда;Технология;;лінійний інтерактивний;;;;;;;;;;;
14191106;Источник бесперебойного питания EnerGenie EG-UPS-031 650ВA аппроксимированная синусоида;Вага брутто;;5360;Розмір упаковки (Ш х В х Г);;140 x 230 x 375 мм;Строк гарантії;;12 міс.;Додаткові характеристики;;"2x C13 (вихід), 1 евророзетки (вихід)";Батареї;;12В 7A•г;Вес;г;5200;Номинальная мощность;;650ВА (390Вт);"Розміри, мм";;340 x 95 x 165;Форма сигналу;;апроксимована синусоїда;Технология;;лінійний інтерактивний;;;;;;;;;;;
14191106;Стабилизатор напряжения инверторный VOLTER СНПТО Etalon-S-4 3500Вт;Вага брутто;;15.32 кг;Розмір упаковки (Ш х В х Г);;350 x 160 x 670 мм;Строк гарантії;;12 міс.;Додаткові характеристики;;"Максимальний струм, А – 16, Затримка включення – 4,5-7,5 с";Вес;г;15.7 кг;Номинальная мощность;;3500;"Розміри, мм";;640 х 320 х 125;Технология;;інверторний одна фаза;;;;;;;;;;;;;;;;;
14191106;Источник бесперебойного питания Ritar RTP500 Standby-L 500ВA;Вага брутто;;3.62 кг;Розмір упаковки (Ш х В х Г);;140 x 205 x 290 мм;Рабочая температура;;0 - 45°C;Додаткові характеристики;;Кількість розеток Schuko: 2;Батареї;;"12В/4,5А•г";Вес;г;3.28 кг;Номинальная мощность;;500VA / 300Вт;"Розміри, мм";;250 х 100 х 140 мм;Форма сигналу;;апроксимована (модифікована) синусоїда;Діапазон вхідної напруги;;145 - 290В AC;"Час автономної роботи, хв";;200Вт: 3;;;;;;;;
14191106;Источник бесперебойного питания Ritar E-RTM1000 ELF-L LED (600W);Вага брутто;;9.8 кг;Розмір упаковки (Ш х В х Г);;195 x 280 x 410 мм;Додаткові характеристики;;"Захист від короткого замикання, Захист від повного розряду, Холодний старт, Наскрізний нуль";Батареї;;2х 12В 7 А•г;Вес;г;10 кг;Номинальная мощность;;1000VA / 600Вт;"Розміри, мм";;340 х 120 х 190;Форма сигналу;;апроксимована (модифікована) синусоїда;"Час автономної роботи, хв";;"200Вт: 19,5 хв";;;;;;;;;;;;;;
14191106;ИБП под акб 12В/7A EuroPower EP-UPS-1203HC(M) 14.4В 2А;Вага брутто;;1380;Розмір упаковки (Ш х В х Г);;210 x 80 x 280 мм;Выходное напряжение;В;14.4 В;Выходной ток;;3 А;Аккумулятор;;12.8В LiFePO4 до 9А•г;;;;;;;;;;;;;;;;;;;;;;;;;;
14191106;ИБП под внешний аккумулятор Ritar PT-2KL-LCD 1800Вт 72В с правильной синусоидой;Вага брутто;;6560;Розмір упаковки (Ш х В х Г);;230 x 330 x 480 мм;Додаткові характеристики;;Schuko: 2шт;Кількість в ящику;;2 шт;Батареї;;72 В 33-65 А•г;Вес;г;9500;Номинальная мощность;;2000ВA (1800Вт);"Розміри, мм";;405 х 190 х 326;Форма сигналу;;правильна синусоїда;Інтерфейс зв'язку;;RS-232;;;;;;;;;;;
