category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;;;
302308;Контактная кнопка выхода Atis Exit-PE;Розмір упаковки (Ш х В х Г);;43 x 86 x 16 мм;Вага брутто;;50;Розміри;;86х43х16 мм;Номінал струму;;3А;Материал;;Пластик;Рабочая температура;;-10 ~ +50;Строк гарантії;;12 міс.;Монтаж;;накладний;Тип устройства;;механічна кнопка;Интерфейсы;;Нет;;;;;;;;;;;
302308;Безконтактна кнопка виходу Yli Electronic ISK-840A;Розмір упаковки (Ш х В х Г);;100 x 50 x 120 мм;Вага брутто;;100;Розміри;;114x68x40 мм;Номінал струму;;1 А 36 В;Рабочая температура;;-20 ～ + 55 ℃;Строк гарантії;;12 міс.;Інтерфейси виходу;;NO / NC / COM;Вага;г;200;;;;;;;;;;;;;;;;;
302308;Контактна кнопка виходу Yli Electronic PBK-814D(LED) (метал);Розмір упаковки (Ш х В х Г);;100 x 100 x 25 мм;Вага брутто;;150;Розміри;;114х70х26.5 мм;Номінал струму;;36В DC/3А;Материал;;Нержавеющая сталь;Рабочая температура;;-10 ~ +55C;Строк гарантії;;12 міс.;Монтаж;;Врезной;Інтерфейси виходу;;NO/COM;;;;;;;;;;;;;;
302308;Кнопка ART-805;Розмір упаковки (Ш х В х Г);;35 x 35 x 95 мм;Вага брутто;;100;Розміри;;80 x 30 x 25мм;Материал;;Алюминий;Строк гарантії;;12 міс.;Тип устройства;;механічна кнопка;;;;;;;;;;;;;;;;;;;;;;;
302308;Кнопка виходу ATIS Exit-KT Tuya Smart;Розмір упаковки (Ш х В х Г);;90 x 40 x 140 мм;Вага брутто;;80;Розміри;;86 x 86 x 20 мм;Номінал струму;;DC 12 В;Монтаж;;накладний;Тип устройства;;"підсвічування кнопок, підтримка Tuya Smart";Контакти;;NO/NC/COM;;;;;;;;;;;;;;;;;;;;
302308;Кнопка виходу PBK-811A;Розмір упаковки (Ш х В х Г);;28 x 86 x 20 мм;Розміри;;86х28х20 мм;Номінал струму;;3А;Материал;;Нержавеющая сталь;Строк гарантії;;12 міс.;Тип устройства;;кнопка виходу;;;;;;;;;;;;;;;;;;;;;;;
302308;Кнопка виходу PBK-810D;Розмір упаковки (Ш х В х Г);;32 x 25 x 83 мм;Вага брутто;;120;Розміри;;114х70х20 мм;Номінал струму;;3A;Материал;;Нержавеющая сталь;Строк гарантії;;12 міс.;Монтаж;;Врезной;Тип устройства;;механічна кнопка;Совместимость;;монтажна коробка: MBB-811D-M;MTBF;;500 000;Входное напряжение;;36В;Інтерфейс користувача;;NO/NC/COM;;;;;
302308;Контактна кнопка виходу Yli Electronic PBK-810B (метал);Розмір упаковки (Ш х В х Г);;32 x 25 x 83 мм;Вага брутто;;120;Розміри;;86х50х20 мм;Номінал струму;;3А;Материал;;Нержавеющая сталь;Рабочая температура;;-10 ~ +55;Строк гарантії;;12 міс.;Тип устройства;;механічна кнопка;Интерфейсы;;NO/NC/COM;Совместимость;;монтажна коробка: MBB-811B-M;MTBF;;500 000;Входное напряжение;;36В DC;;;;;
302308;Кнопка виходу безконтактна ATIS Exit-PNT з LED-підсвічуванням;Розмір упаковки (Ш х В х Г);;90 x 40 x 140 мм;Вага брутто;;80;Розміри;;92х56 мм;Монтаж;;Врезной;Тип устройства;;Відстань детекції: до 10 см;Контакти;;NO/NC/COM;;;;;;;;;;;;;;;;;;;;;;;
302308;Кнопка виходу Trinix ART-902 безконтактна накладна;Розмір упаковки (Ш х В х Г);;90 x 40 x 100 мм;Вага брутто;;100;Номінал струму;;DC 12-24 В;Материал;;86 х 55 х 20 мм;Рабочая температура;;-20 °C ~ +55 °C;Монтаж;;накладний;Тип устройства;;безконтактна;Контакти;;"нормально-замкнений, нормально-розімкнений";;;;;;;;;;;;;;;;;
302308;Кнопка виходу ATIS Exit-MP gray;Розмір упаковки (Ш х В х Г);;90 x 45 x 95 мм;Вага брутто;;100;Розміри;;86 x 86 x 22 мм;Рабочая температура;;-20 - +55°C;Монтаж;;Врезной;Контакти;;NO/NC/COM;Вага;г;55;Колір;;Сірий;;;;;;;;;;;;;;;;;
302308;Кнопка виходу TRINIX ART-810F безконтактна врізна;Розмір упаковки (Ш х В х Г);;90 x 50 x 130 мм;Вага брутто;;100;Розміри;;115 х 70 х 29 мм;Номінал струму;;DC 12-24 В;Материал;;Нержавеющая сталь;Монтаж;;Врезной;Тип устройства;;безконтактна;Контакти;;"Н/Р, Н/С";Класс защиты;;IP65;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
