Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
301010;;;Таймер затримки (сек);Введіть число. Число повинно бути від 0 до 20
301010;;;Інтерфейс;
301010;;;Інтеграція з системами і ПО;
301010;;;Вандалозахист;
301010;;;Обсяг журналу реєстрацій (подій);Введіть число. Число повинно бути від 0 до 1000000
301010;;;Реєстрація подій;
301010;;;Шифрування даних;
301010;;;Можливість самостійного кодування;
301010;;;Кількість шаблонів малюнка вен пальця;Введіть число. Число повинно бути від 0 до 100000
301010;;;Кількість шаблонів малюнка вен долоні;Введіть число. Число повинно бути від 0 до 100000
301010;;;Кількість шаблонів особи;Введіть число. Число повинно бути від 0 до 100000
301010;;;Кількість шаблонів відбитка пальця;Введіть число. Число повинно бути від 0 до 100000
301010;;;Радіус дії карти/ключа (см);Введіть число. Число повинно бути від 0 до 100
301010;;;Кількість шаблонів карт/ключів;Введіть число. Число повинно бути від 0 до 100000
301010;;;Об'єм пам'яті (Мб);Введіть число. Число повинно бути від 0 до 1024
301010;;;Додаткове замикання зсередини;
301010;;;Мах кількість комбінацій;Введіть число. Число повинно бути від 0 до 100000000000
301010;;;Встановлення разових (гостьових) кодів;
301010;;;Підсвічування клавіш;
301010;;;Блокування механізму;
301010;;;Підсвітка екрану;
301010;;;OSD-меню;
301010;;;Роздільна здатність екрану;
301010;;;Кольоровість монітора;
301010;;;Розмір монітора (дюйм);Введіть число. Число повинно бути від 0 до 30
301010;;;Монітор;
301010;;;Корпус замку;
301010;;;Основний механізм секретності;Введіть число. Число повинно бути від 0 до 10
301010;;;Додатковий механізм секретності;Введіть число. Число повинно бути від 0 до 10
301010;;;Комплект тяг;
301010;;;Кількість ключів;Введіть число. Число повинно бути від 0 до 20
301010;;;Майстер-ключ;
301010;;;Кодова картка;Введіть число. Число повинно бути від 0 до 100000
301010;;;Кількість ручок;
301010;;;Тип ручки;
301010;;;Кишеня для замку;
301010;;;Захисна бронепластина;Введіть число. Число повинно бути від 1 до 10
301010;;;Захисна броненакладка;Введіть число. Число повинно бути від 1 до 10
301010;;;Телескопічна захисна накладка;Введіть число. Число повинно бути від 1 до 10
301010;;;Магнітний ключ;Введіть число. Число повинно бути від 1 до 10
301010;;;Направляюче для ключів;Введіть число. Число повинно бути від 1 до 10
301010;;;Спейсер до направляючої;Введіть число. Число повинно бути від 1 до 10
301010;;;Відповідна планка;Введіть число. Число повинно бути від 1 до 10
301010;;;Внутрішня декоративна накладка;Введіть число. Число повинно бути від 1 до 10
301010;;;Зовнішня декоративна накладка;Введіть число. Число повинно бути від 1 до 10
301010;;;Монтажний ключ;
301010;;;Кріпильний комплект;
301010;;;Шаблон для монтажу;
301010;;;Інструкція по установці/експлуатації;
301010;;;Пульт дистанційного керування;
301010;;;Радіопульт;Введіть число. Число повинно бути від 0 до 20
301010;;;Провід сполучний;
301010;;;Кодонабірна панель;
301010;;;Акумулятор;Введіть число. Число повинно бути від 0 до 5
301010;;;Блок живлення;
301010;;;Консоль з клавішами;
301010;;;Кнопка виходу;Введіть число. Число повинно бути від 0 до 10
301010;;;Мінімальна робоча температура (град.);Введіть число. Число повинно бути від -100 до 0
301010;;;Максимальна робоча температура (град.);Введіть число. Число повинно бути від 0 до 100
;;;Довжина (мм);Введіть число. Число повинно бути від 0 до 2000
;;;Ширина (мм);Введіть число. Число повинно бути від 0 до 500
;;;Висота (мм);Введіть число. Число повинно бути від 0 до 2500
;;;Вага (кг);Введіть число. Число повинно бути від 0 до 50
;;;Гарантійний термін (міс);Введіть число. Число повинно бути від 0 до 120
;;;Значення вихідного струму (А);Введіть число. Число повинно бути від 0 до 1000
;;;Живлення;
;;;Аварійне підживлення;
;;;Контроль розряду;
;;;Живлення в режимі очікування (мА);Введіть число. Число повинно бути від 0 до 5000
