Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність (Мп);Введіть число. Число повинно бути від 0 до 100
https://prom.ua/Kamery-videonablyudeniya;301105;;;Формат стиснення;H. 264
https://prom.ua/Kamery-videonablyudeniya;301105;;;Формат стиснення;MJPEG
https://prom.ua/Kamery-videonablyudeniya;301105;;;Формат стиснення;MPEG-4
https://prom.ua/Kamery-videonablyudeniya;301105;;;Формат стиснення;H. 265
https://prom.ua/Kamery-videonablyudeniya;301105;;;Формат стиснення;H.264+/H.264
https://prom.ua/Kamery-videonablyudeniya;301105;;;Формат стиснення;H.265+/H.265
https://prom.ua/Kamery-videonablyudeniya;301105;;;Зображення картинки;Кольорова
https://prom.ua/Kamery-videonablyudeniya;301105;;;Зображення картинки;Чорно-біла
https://prom.ua/Kamery-videonablyudeniya;301105;;;Режим зйомки "День/ніч";Так
https://prom.ua/Kamery-videonablyudeniya;301105;;;Режим зйомки "День/ніч";Ні
https://prom.ua/Kamery-videonablyudeniya;301105;;;Перемикання режимів "День/ніч";ColorVu
https://prom.ua/Kamery-videonablyudeniya;301105;;;Перемикання режимів "День/ніч";Full-color Starlight
https://prom.ua/Kamery-videonablyudeniya;301105;;;Перемикання режимів "День/ніч";ICR
https://prom.ua/Kamery-videonablyudeniya;301105;;;Перемикання режимів "День/ніч";Starlight
https://prom.ua/Kamery-videonablyudeniya;301105;;;Перемикання режимів "День/ніч";Програмне
https://prom.ua/Kamery-videonablyudeniya;301105;;;Наявність ІЧ-підсвічування;Так
https://prom.ua/Kamery-videonablyudeniya;301105;;;Наявність ІЧ-підсвічування;Ні
https://prom.ua/Kamery-videonablyudeniya;301105;;;Дальність ІЧ-підсвічування (м);Введіть число. Число повинно бути від 0 до 1000
https://prom.ua/Kamery-videonablyudeniya;301105;;;Стан;Вживані
https://prom.ua/Kamery-videonablyudeniya;301105;;;Стан;Новий
https://prom.ua/Kamery-videonablyudeniya;301105;;;Датчик руху;Так
https://prom.ua/Kamery-videonablyudeniya;301105;;;Датчик руху;Ні
https://prom.ua/Kamery-videonablyudeniya;301105;;;Наявність LED-підсвічування;Так
https://prom.ua/Kamery-videonablyudeniya;301105;;;Наявність LED-підсвічування;Ні
https://prom.ua/Kamery-videonablyudeniya;301105;;;Дальність LED підсвічування (м);Введіть число. Число повинно бути від 0 до 200
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;1280x1024
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;1280x720
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;1280x800
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;1280x960
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;1600x1200
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;176х288
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;1920x1080
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;2048x1536
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;2560×1944
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;2560х1440
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;2560х1920
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;2592x1944
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;2688X1520
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;3072x2048
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;3200х1800
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;320x240
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;352x240
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;352x288
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;3648x2752
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;3840х2160
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;500×582
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;512x576
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;640x480
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;704x288
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;704x480
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;704x576
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;758×582
https://prom.ua/Kamery-videonablyudeniya;301105;;;Роздільна здатність матриці;976×582
https://prom.ua/Kamery-videonablyudeniya;301105;;;Кількість мегапікселів (Мп);Введіть число. Число повинно бути від 0 до 100
