Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;1920х1080
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;2048x1536
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;2048х1536
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;2560x1920
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;2560х1440
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;2592x1944
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;2592х1520
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;3072x2048
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;320x240
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;352х288
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;3648x2752
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;3840х2160
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;4000х3000
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;592х1920
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;640x480
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;704×288
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;704x576
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;720x576
https://prom.ua/Videoregistratory;301101;;;Дозвіл запису;960x576
https://prom.ua/Videoregistratory;301101;;;Швидкість запису (кадр/сек);Введіть число. Число повинно бути від 1 до 1000
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;0
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;1
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;10
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;16
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;2
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;24
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;3
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;32
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;4
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;5
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;6
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;64
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;7
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;8
https://prom.ua/Videoregistratory;301101;;;Кількість відеовиходів;9
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;0
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;1
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;10
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;12
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;128
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;16
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;2
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;24
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;25
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;3
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;32
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;4
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;5
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;6
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;64
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;7
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;8
https://prom.ua/Videoregistratory;301101;;;Кількість аудіоканалів;9
https://prom.ua/Videoregistratory;301101;;;VGA відеовихід;Так
https://prom.ua/Videoregistratory;301101;;;VGA відеовихід;Ні
https://prom.ua/Videoregistratory;301101;;;HDMI відеовихід;Так
https://prom.ua/Videoregistratory;301101;;;HDMI відеовихід;Ні
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;1-Jan
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;1-Dec
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;3-Dec
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;4-Dec
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;6-Dec
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;3-Jan
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;4-Jan
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;6-Jan
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;16/1
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;16/3
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;16/4
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;16/6
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;1-Feb
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;3-Feb
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;4-Feb
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;6-Feb
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;1-Apr
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;3-Apr
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;4-Apr
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;6-Apr
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;1-Aug
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;3-Aug
https://prom.ua/Videoregistratory;301101;;;Тривожні входи/виходи;4-Aug
