category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;;;
14191103;Блок живлення Kraft KRF-1205PS;Вага брутто;;0.25 кг;Розмір упаковки (Ш х В х Г);;90 x 30 x 170 мм;Входное напряжение;;AC 155-265 В;Выходное напряжение;В;12В;Сила струму на виході;;5А;Розміри;;125 х 55 х 33 мм;Тип устройства;;Імпульсний;Мощность;;60 Вт;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;1;;;;;;;;;;;;;;
14191103;Блок живлення Kraft KRF-1205PB;Вага брутто;;0.15 кг;Розмір упаковки (Ш х В х Г);;80 x 40 x 120 мм;Входное напряжение;;AC 190-265 В;Выходное напряжение;В;12В;Сила струму на виході;;5А;Розміри;;110 х 77 х 35 мм;Тип устройства;;Імпульсний;Мощность;;60 Вт;Защита от короткого замыкания;;Підтримує;Кількість каналів навантаження;;2;;;;;;;;;;;;;;
14191103;Блок живлення Hikvision MKAC-76-242500V 24В 2.5A;Вага брутто;;1.12 кг;Розмір упаковки (Ш х В х Г);;70 x 60 x 75 мм;Входное напряжение;;230 В;Выходное напряжение;В;24В AC;Сила струму на виході;;2.5А;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Hikvision DS-2PA1201-WRD(STD) 12В 1А;Вага брутто;;0.3 кг;Розмір упаковки (Ш х В х Г);;114 x 45 x 156 мм;Входное напряжение;;170 - 240 В AC;Выходное напряжение;В;12 В DC;Сила струму на виході;;1 A;Розміри;;156×114×45 мм;Рабочая температура;;-30°C - 70°C;Защита от короткого замыкания;;Підтримує;Додаткові характеристики;;Пульсація та шум: ≤150mVp-p;Захист від перенапруги;;Підтримує;;;;;;;;;;;;;;
14191103;Блок живлення Hikvision DS-2FA1205-C8(EUR) 12В 1А;Вага брутто;;0.36 кг;Розмір упаковки (Ш х В х Г);;145 x 40 x 150 мм;Входное напряжение;;150 - 285 В АС;Выходное напряжение;В;12 В DC;Сила струму на виході;;1А;Розміри;;144 × 109.5 × 33 мм;Рабочая температура;;0°C - 40°C;Особенности;;"вхід C8, вихід DC Plug";Кількість в ящику;;25 шт;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-4802 52В 2.5А;Вага брутто;;250;Розмір упаковки (Ш х В х Г);;90 x 40 x 60 мм;Входное напряжение;;220 В;Выходное напряжение;В;48–52 В;Сила струму на виході;;2 А;Строк гарантії;;12 міс.;Розміри;;170 х 68 х 35 мм;Тип устройства;;Блок живлення імпульсний;Рабочая температура;;-10 ~ +55;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-4801 (PS-52) 52В 1.25А;Вага брутто;;0.36 кг;Розмір упаковки (Ш х В х Г);;210 x 125 x 50 мм;Входное напряжение;;220 В;Выходное напряжение;В;52 В;Сила струму на виході;;1.25 А;Строк гарантії;;12 міс.;Розміри;;128 х 52 х 32 мм;Тип устройства;;Блок живлення імпульсний;Рабочая температура;;-10 - +50°C;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-243Pro 24В 3А;Вага брутто;;0.25 кг;Розмір упаковки (Ш х В х Г);;90 x 40 x 60 мм;Входное напряжение;;~176-245 В;Выходное напряжение;В;24 В;Сила струму на виході;;3 А;Строк гарантії;;12 міс.;Розміри;;118 x 53 x 33 мм;Тип устройства;;Блок живлення імпульсний;Рабочая температура;;-10 - +50°C;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-128U 12В 8.33А;Вага брутто;;0.54 кг;Розмір упаковки (Ш х В х Г);;90 x 80 x 200 мм;Входное напряжение;;AC 100-240 В;Выходное напряжение;В;12В;Сила струму на виході;;8.33А;Мощность;;100 Вт;Рабочая температура;;-20 - +70°C;Довжина кабеля;;Довжина кабелю: 1.35 м (від БЖ до роз'єму) + 0.9 м (від БЖ до вилки);;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-125UW 12 В / 5 А;Вага брутто;;0.3 кг;Розмір упаковки (Ш х В х Г);;180 x 70 x 70 мм;Входное напряжение;;100–240 В;Выходное напряжение;В;12 В;Сила струму на виході;;5 А;Розміри;;115.5 x 52 x 32.5 мм;Мощность;;60 Вт;;;;;;;;;;;;;;;;;;;;;;;
