Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
301305;;;Вбудований мікрофон;Так
301305;;;Вбудований мікрофон;Ні
301305;;;Підсвічування;Так
301305;;;Підсвічування;Ні
301305;;;Індикація режиму роботи;Так
301305;;;Індикація режиму роботи;Ні
301305;;;Вандалозахист;Так
301305;;;Вандалозахист;Ні
301305;;;Живлення;PoE
301305;;;Живлення;USB
301305;;;Живлення;Акумулятор
301305;;;Живлення;Батарейки акумуляторного типу
301305;;;Живлення;Батарейки одноразові
301305;;;Живлення;Мережа 110В
301305;;;Живлення;Мережа 12В
301305;;;Живлення;Мережа 220В
301305;;;Живлення;Мережа 24В
301305;;;Живлення;Сонячні батареї
301305;;;Додаткове джерело живлення;Мережа 12В
301305;;;Додаткове джерело живлення;Мережа 110В
301305;;;Додаткове джерело живлення;Мережа 220В
301305;;;Додаткове джерело живлення;Мережа 380В
301305;;;Додаткове джерело живлення;Батарейки одноразові
301305;;;Додаткове джерело живлення;Батарейки акумуляторного типу
301305;;;Додаткове джерело живлення;Сонячні батареї
301305;;;Додаткове джерело живлення;Акумулятор
301305;;;Додаткове джерело живлення;Мережа 24В
301305;;;Додаткове джерело живлення;PoE
301305;;;Напруга (В);Введіть число. Число повинно бути від 0 до 380
301305;;;Значення вихідного струму (А);Введіть число. Число повинно бути від 0 до 1000
