Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Нержавіючий метал
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Оцинкована сталь
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Пластик
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Пластмаса
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Силумін
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Сталь
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Сталь покрита порошковою фарбою
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Термостійкий пластик
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Титан
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Титановий сплав
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Вуглецева сталь
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Матеріал;Хроммолібденовий сплав
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Толщина стекла обзорного окна (мм);Введіть число. Число повинно бути від 0 до 50
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Корисна довжина кожуха (мм);Введіть число. Число повинно бути від 0 до 1000
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Корисна ширина кожуха (мм);Введіть число. Число повинно бути від 0 до 500
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Корисна висота кожуха (мм);Введіть число. Число повинно бути від 0 до 500
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Кут повороту (град.);Введіть число. Число повинно бути від 0 до 360
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Кут нахилу (град.);Введіть число. Число повинно бути від 0 до 360
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Вандалозахист;Так
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Вандалозахист;Ні
