Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
302308;;;Захист обладнання від води і пилу IP;IP45
302308;;;Захист обладнання від води і пилу IP;IP46
302308;;;Захист обладнання від води і пилу IP;IP47
302308;;;Захист обладнання від води і пилу IP;IP48
302308;;;Захист обладнання від води і пилу IP;IP49
302308;;;Захист обладнання від води і пилу IP;IP50
302308;;;Захист обладнання від води і пилу IP;IP51
302308;;;Захист обладнання від води і пилу IP;IP52
302308;;;Захист обладнання від води і пилу IP;IP53
302308;;;Захист обладнання від води і пилу IP;IP54
302308;;;Захист обладнання від води і пилу IP;IP55
302308;;;Захист обладнання від води і пилу IP;IP56
302308;;;Захист обладнання від води і пилу IP;IP57
302308;;;Захист обладнання від води і пилу IP;IP58
302308;;;Захист обладнання від води і пилу IP;IP59
302308;;;Захист обладнання від води і пилу IP;IP60
302308;;;Захист обладнання від води і пилу IP;IP61
302308;;;Захист обладнання від води і пилу IP;IP62
302308;;;Захист обладнання від води і пилу IP;IP63
302308;;;Захист обладнання від води і пилу IP;IP64
302308;;;Захист обладнання від води і пилу IP;IP65
302308;;;Захист обладнання від води і пилу IP;IP66
302308;;;Захист обладнання від води і пилу IP;IP67
302308;;;Захист обладнання від води і пилу IP;IP68
302308;;;Мінімальна робоча температура (град.);Введіть число. Число повинно бути від -100 до 0
302308;;;Максимальна робоча температура (град.);Введіть число. Число повинно бути від 0 до 100
302308;;;Діаметр (мм);Введіть число. Число повинно бути від 0 до 500
302308;;;Довжина (мм);Введіть число. Число повинно бути від 0 до 500
302308;;;Ширина (мм);Введіть число. Число повинно бути від 0 до 500
302308;;;Висота (мм);Введіть число. Число повинно бути від 0 до 500
302308;;;Вага (г);Введіть число. Число повинно бути від 0 до 5000
302308;;;Гарантійний термін (міс);Введіть число. Число повинно бути від 0 до 120
